date,GNP,GNP82,GC,GPI,GIF,GPOP,M2,POP,LHUR,BCTURNPT,HALL,PRESCOTT,YPOTDEN,DENISON
1958:02,447.8999939,1514.199951,291.8999939,58.20000076,63.20000076,173.7810059,274.87,174404,7.366666794,-0.333333333,,,,
1958:03,461,1550,296.8999939,64.09999847,64.09999847,174.5350037,279.681,175146,7.333333333,0,,,,
1958:04,474.2000122,1586.699951,300.7000122,72.09999847,68.09999847,175.3399963,282.98,175956.6667,6.366666476,0,,,,
1959:01,485.1000061,1606.400024,308.7999878,76.90000153,72.09999847,176.0449982,287.833,176679,5.833333333,0,6,1.740482306,613.8,-5.668547184
1959:02,497.7999878,1637,314.6000061,84.40000153,74.80000305,176.727005,292.1666667,177367.3333,5.099999905,0,,,,
1959:03,498,1629.5,319.7999878,78.40000153,75.90000153,177.4810028,296.0999959,178102.3333,5.266666571,0,,,,
1959:04,502.3999939,1643.400024,321.7999878,81.09999847,74.90000153,178.2680054,297.200002,178910.3333,5.600000064,0,,,,
1960:01,516.0999756,1671.599976,325.5,88.69999695,77.69999695,179.6940002,298.7333272,179590.3333,5.133333365,0,0.1,-0.76108966,636.5,-5.64826958
1960:02,514.5,1666.800049,331.6000061,78.09999847,75.69999695,180.3350067,301.1000061,180224.3333,5.23333327,0.333333333,,,,
1960:03,517.7000122,1668.400024,331.7000122,77.40000153,73.69999695,181.0939941,306.4666646,180951.3333,5.533333302,0,,,,
1960:04,513,1654.099976,333.7999878,68.5,73.40000153,181.9149933,310.9666646,181788.6667,6.266666571,0,,,,
